"id","long","lat","order","hole","piece","group","N"
"313",2089.81259982322,2074.64565128851,3,FALSE,"1","313.1",9
"313",2089.81259982322,2012.60532734837,4,FALSE,"1","313.1",9
"313",2036.08410323204,1981.5851653783,5,FALSE,"1","313.1",9
"313",1982.35560664086,2012.60532734837,6,FALSE,"1","313.1",9
"313",1982.35560664086,2074.64565128851,7,FALSE,"1","313.1",9
"314",2089.81259982322,2074.64565128851,1,FALSE,"1","314.1",27
"314",2143.54109641439,2105.66581325858,2,FALSE,"1","314.1",27
"314",2197.26959300557,2074.64565128851,3,FALSE,"1","314.1",27
"314",2197.26959300557,2012.60532734837,4,FALSE,"1","314.1",27
"314",2143.54109641439,1981.5851653783,5,FALSE,"1","314.1",27
"314",2089.81259982322,2012.60532734837,6,FALSE,"1","314.1",27
"314",2089.81259982322,2074.64565128851,7,FALSE,"1","314.1",27
"315",2197.26959300557,2074.64565128851,1,FALSE,"1","315.1",20
"315",2250.99808959675,2105.66581325858,2,FALSE,"1","315.1",20
"315",2304.72658618793,2074.64565128851,3,FALSE,"1","315.1",20
"315",2304.72658618793,2012.60532734837,4,FALSE,"1","315.1",20
"315",2250.99808959675,1981.5851653783,5,FALSE,"1","315.1",20
"315",2197.26959300557,2012.60532734837,6,FALSE,"1","315.1",20
"315",2197.26959300557,2074.64565128851,7,FALSE,"1","315.1",20
"316",-220.512753597398,2167.70613719872,1,FALSE,"1","316.1",0
"316",-166.784257006221,2198.72629916879,2,FALSE,"1","316.1",0
"316",-113.055760415044,2167.70613719872,3,FALSE,"1","316.1",0
"316",-113.055760415044,2105.66581325858,4,FALSE,"1","316.1",0
"316",-166.784257006221,2074.64565128851,5,FALSE,"1","316.1",0
"316",-220.512753597398,2105.66581325858,6,FALSE,"1","316.1",0
"316",-220.512753597398,2167.70613719872,7,FALSE,"1","316.1",0
"317",-113.055760415044,2167.70613719872,1,FALSE,"1","317.1",0
"317",-59.3272638238665,2198.72629916879,2,FALSE,"1","317.1",0
"317",-5.59876723268944,2167.70613719872,3,FALSE,"1","317.1",0
"317",-5.59876723268944,2105.66581325858,4,FALSE,"1","317.1",0
"317",-59.3272638238665,2074.64565128851,5,FALSE,"1","317.1",0
"317",-113.055760415044,2105.66581325858,6,FALSE,"1","317.1",0
"317",-113.055760415044,2167.70613719872,7,FALSE,"1","317.1",0
"318",-5.59876723268926,2167.70613719872,1,FALSE,"1","318.1",1
"318",48.1297293584878,2198.72629916879,2,FALSE,"1","318.1",1
"318",101.858225949665,2167.70613719872,3,FALSE,"1","318.1",1
"318",101.858225949665,2105.66581325858,4,FALSE,"1","318.1",1
"318",48.1297293584878,2074.64565128851,5,FALSE,"1","318.1",1
"318",-5.59876723268926,2105.66581325858,6,FALSE,"1","318.1",1
"318",-5.59876723268926,2167.70613719872,7,FALSE,"1","318.1",1
"319",101.858225949665,2167.70613719872,1,FALSE,"1","319.1",0
"319",155.586722540842,2198.72629916879,2,FALSE,"1","319.1",0
"319",209.315219132019,2167.70613719872,3,FALSE,"1","319.1",0
"319",209.315219132019,2105.66581325858,4,FALSE,"1","319.1",0
